type,country_canonical,country_key,aliases,exactmatch,exclusions,who_subregion,who_region,gbd_region,Mexico,Caribbean
country,Chile,chile,santiago,,,AMRB,Americas,Southern Latin America,,
country,Colombia,colombia,barranquilla; bogota; columbia,,,AMRB,Americas,Central Latin America,,
country,Costa Rica,costa rica,c. rica;  punta leona resort; tamarindo; costa rico,cr,,AMRB,Americas,Central Latin America,,
country,Cuba,cuba,havana,,,AMRB,Americas,Caribbean,,
country,Dominica,dominica,NA,,,AMRB,Americas,Caribbean,,
country,dominican republic,dominican republic,domican republic; domimican republic; domincan republic; dominican rep; dominican rep.; cabrete; dominican; catalina island; puerto plata; punta cana; santo domingo; boca chica; casa de campo,dr,,AMRB,Americas,Caribbean,,
country,Ecuador,ecuador,galapagos; equador; euador; kito; galapogos,kito,,AMRD,Americas,Andean Latin America,,
country,el salvador,el salvador,el alvador; el slavador; elsalvador; salvador; san vicente,,,AMRB,Americas,Central Latin America,,
country,Barbuda,barbuda,NA,,,AMRB,Americas,Caribbean,,
country,Antigua,antigua,NA,,,AMRB,Americas,Caribbean,,
country,Anguilla,anguilla,NA,,,AMRB,Americas,Caribbean,,
country,Bermuda,bermuda,NA,,,AMRA,Americas,Caribbean,,
country,Grenada,grenada,NA,,,AMRB,Americas,Caribbean,,
country,guatemala,guatemala,guatamala; guatamala/phillippines; guatmala; guatem; sibinal; monterrico; puerto san jose; guate,,,AMRD,Americas,Central Latin America,,
country,Guyana,guyana,NA,,,AMRB,Americas,Caribbean,,
country,Haiti,haiti,port au prince,,,AMRD,Americas,Caribbean,,
country,Falkland Islands,falkland islands,falkland; malvinas,,,AMRB,Americas,Southern Latin America,,
country,French Guinea,french guinea,french guiana,,,AMRB,Americas,Central Latin America,,
country,Honduras,honduras,hondous; hondurus; roatan; hondur; honduris; rotan,,,AMRB,Americas,Central Latin America,,
country,Jamaica,jamaica,duncans bay; negril; ocho rios; montego; kingston; jamica; jamiaca; jamacia,,,AMRB,Americas,Caribbean,,
country,mexico,mexico,mesico; mx; cozmuel; mexcio; mexio; acapulco; mex; cozumel; baja; cancun; vallerta; cabo; san lucas; chicapas; sonora; chihuahua; chihuaua; colima; costa maya; yucatan; tulum; cuactemoc; durango; guadalajara; guadeloupe; jalisco; guanajuato; mujeres; holbox; ixtapa; guerroro; jaulisco; juarez; matzatlan; mexicali; mexico city; edalgo; san juan del rio;  temixco; patzuaro; michoacan; monterrey; morales; nuevo basas grande; oaxaca;  puerto escondido; ojinaga; parral; playa del carmen; porta morales; ocean coral and turquesa; puebla; oxoaca; puerta vallarta;  vallarta; puerto juarez; puerto penasco; puerto nuevo; queretaro; river maya; rivera may; rivieria maya; san carlos; rio colorado; sayulita; nayarit; sinaloa; barratta; tecate; temoaya; tijuana; ukatan; zacatecas; zapopan; carmen,mx,,AMRB,Americas,Central Latin America,Yes,
country,Nicaragua,nicaragua,nocaragua; nicarauga,,,AMRD,Americas,Central Latin America,,
country,Panama,panama,NA,,,AMRB,Americas,Central Latin America,,
country,Paraguay,paraguay,NA,,,AMRB,Americas,Tropical Latin America,,
country,Peru,peru,lima; arequipa; cuzco; machu picchu,peru; lima,,AMRD,Americas,Andean Latin America,,
country,Puerto Rico,puerto rico,san juan; naranjito,pr,,AMRA,Americas,Caribbean,,
country,Saint Thomas,saint thomas,st. thomas; thomas,,,AMRB,Americas,Caribbean,,
country,Saint Kitts And Nevis,saint kitts and nevis,kitts; nevis; nevins,,,AMRB,Americas,Caribbean,,
country,Saint Martin,saint martin,st. martin; saint maarten; martin; maarten,,,AMRB,Americas,Caribbean,,
country,Saint Lucia,saint lucia,st. lucia; lucia,,,AMRB,Americas,Caribbean,,
country,Saint Vincent And The Grenadines,saint vincent and the grenadines,st. vincent; grenadines; vincent; grenadin,,,AMRB,Americas,Caribbean,,
country,Suriname,suriname,NA,,,AMRB,Americas,Caribbean,,
country,Trinidad And Tobago,trinidad and tobago,trinidad; tobago; trabago,,,AMRB,Americas,Caribbean,,
country,Uruguay,uruguay,uraguay,,,AMRB,Americas,Southern Latin America,,
country,venezuela (bolivarian republic of),venezuela (bolivarian republic of),venezuela; venezula,,,AMRB,Americas,Central Latin America,,
region,west indies,west indies,west indies,,,AMRB,Americas,Caribbean,,
country,Afghanistan,afghanistan,NA,,,EMRD,Eastern Mediterranean,North Africa and Middle East,,
country,Bahrain,bahrain,NA,,,EMRB,Eastern Mediterranean,North Africa and Middle East,,
country,Cyprus,cyprus,cypress,,,EMRB,Eastern Mediterranean,North Africa and Middle East,,
country,djibouti,djibouti,dijibouti; djbouti,,,EMRD,Eastern Mediterranean,Eastern Sub-Saharan Africa,,
country,Egypt,egypt,cairo,,,EMRD,Eastern Mediterranean,North Africa and Middle East,,
country,Iran (Islamic Republic Of),iran (islamic republic of),iran,iran,,EMRB,Eastern Mediterranean,North Africa and Middle East,,
country,Iraq,iraq,irag,iraq; irag,,EMRD,Eastern Mediterranean,North Africa and Middle East,,
country,Jordan,jordan,jordon,,,EMRB,Eastern Mediterranean,North Africa and Middle East,,
country,Kuwait,kuwait,NA,,,EMRB,Eastern Mediterranean,North Africa and Middle East,,
country,Lebanon,lebanon,NA,,,EMRB,Eastern Mediterranean,North Africa and Middle East,,
country,Libya,libya,NA,,,EMRD,Eastern Mediterranean,North Africa and Middle East,,
country,Libyan Arab Jamahiriya,libyan arab jamahiriya,NA,,,EMRD,Eastern Mediterranean,North Africa and Middle East,,
country,morocco,morocco,moracco; morocoo; morrocco; morroco; casablanca; marrakesh; morracco; moroco,,,EMRD,Eastern Mediterranean,North Africa and Middle East,,
country,Oman,oman,NA,oman,,EMRB,Eastern Mediterranean,North Africa and Middle East,,
